[2026-01-11 15:07:45] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/gestione_gruppi.php | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/gestione_gruppi.php
[2026-01-15 21:36:46] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /git/eleonline4/admin/modules/elenco_gruppi.php | File: C:/xampp/htdocs/git/eleonline4/admin/modules/elenco_gruppi.php
[2026-01-15 21:37:27] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /git/eleonline4/admin/modules/elenco_gruppi.php | File: C:/xampp/htdocs/git/eleonline4/admin/modules/elenco_gruppi.php
[2026-01-15 21:37:49] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /git/eleonline4/admin/modules/elenco_gruppi.php | File: C:/xampp/htdocs/git/eleonline4/admin/modules/elenco_gruppi.php
[2026-01-15 21:45:15] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /git/eleonline4/admin/modules/elenco_gruppi.php | File: C:/xampp/htdocs/git/eleonline4/admin/modules/elenco_gruppi.php
[2026-01-15 21:50:48] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /git/eleonline4/admin/modules/elenco_gruppi.php | File: C:/xampp/htdocs/git/eleonline4/admin/modules/elenco_gruppi.php
[2026-01-29 08:17:43] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
[2026-01-29 08:17:57] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
[2026-01-29 08:26:32] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
[2026-01-29 08:28:46] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
[2026-01-29 08:29:11] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
[2026-01-29 08:32:37] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Rhiannon | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
[2026-01-29 08:36:43] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
[2026-01-29 08:36:48] ACCESSO NEGATO | IP: 127.0.0.1 | Utente: Anonimo | URI: /sviluppo/eleonline4/admin/modules/stampa_affluenza.php?action=genera_pdf | File: C:/xampp/htdocs/sviluppo/eleonline4/admin/modules/stampa_affluenza.php
