[2026-01-11 15:21:30] LOGIN OK | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009
[2026-01-11 15:30:34] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009
[2026-01-11 15:30:46] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009
[2026-01-11 15:33:42] LOGIN OK | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009
[2026-01-11 15:33:49] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009
[2026-01-11 16:10:36] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:10:45] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:11:38] LOGIN FAIL | IP: 127.0.0.1 | Utente: aaa | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:14:45] LOGIN OK | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:19:22] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:19:27] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:20:24] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:20:52] LOGIN OK | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:20:59] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-11 16:21:05] LOGIN FAIL | IP: 127.0.0.1 | Utente: Rhiannon | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 11:16:20] LOGIN FAIL | IP: 127.0.0.1 | Utente: suser | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 11:16:33] LOGIN OK | IP: 127.0.0.1 | Utente: admin | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 11:16:42] LOGIN FAIL | IP: 127.0.0.1 | Utente: admin | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 11:29:25] LOGIN OK | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 11:29:34] LOGIN FAIL | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 11:29:52] LOGIN OK | IP: 127.0.0.1 | Utente: suser | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 12:06:25] LOGIN OK | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 12:06:34] LOGIN OK | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 12:07:55] LOGIN OK | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 12:10:53] LOGIN OK | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 12:11:04] LOGIN FAIL | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 12:11:21] LOGIN OK | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:24:02] LOGIN FAIL | IP: 127.0.0.1 | Utente: test4 | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:24:12] LOGIN FAIL | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:24:19] LOGIN OK | IP: 127.0.0.1 | Utente: suser | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:26:31] LOGIN FAIL | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:28:15] LOGIN OK | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:28:54] LOGIN FAIL | IP: 127.0.0.1 | Utente: test | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:30:03] LOGIN FAIL | IP: 127.0.0.1 | Utente: CalogeraGraziano | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:30:28] LOGIN OK | IP: 127.0.0.1 | Utente: CalogeraGraziano | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
[2026-01-12 13:33:20] LOGIN OK | IP: 127.0.0.1 | Utente: suser | Comune: 83009 | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
2026-01-12 14:14:31 | test | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
2026-01-12 14:14:43 | test | PASSWORD_ERRATA | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
2026-01-12 22:19:49 | suser | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
2026-01-15 21:43:13 | suser | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:146.0) Gecko/20100101 Firefox/146.0
2026-01-25 00:02:48 | suser | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
2026-01-25 13:08:41 | suser | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
2026-01-25 13:15:47 | suser | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
2026-01-28 11:47:43 | Rhiannon | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G973U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36
2026-01-28 11:54:02 | Rhiannon | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:147.0) Gecko/20100101 Firefox/147.0
2026-01-28 12:05:00 | Rhiannon | LOGIN_OK | comune:83009 | IP:127.0.0.1 | UA:Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-G973U) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/14.2 Chrome/87.0.4280.141 Mobile Safari/537.36
